ID,SMILES,VALUE_p
1,CC1=CC=C(CN2N=C(C(=O)NC3C4(C)CCC(C4)C3(C)C)C=C2C2=CC=C(Cl)C(C)=C2)C=C1,8.698970004
2,O=[N+]([O-])CC(C1=CC=CC=C1)C1=C(C2=CC=CC=C2)NC2=CC=CC=C12,6.920818754
3,O=[N+]([O-])CC(C1=CC=CC=C1F)C1=C(C2=CC=CC(F)=C2)NC2=C(F)C=CC=C12,7.026872146
4,CCCCCN1C=C(C(=O)C2=CC=C(C(N)=O)C3=CC=CC=C23)C2=CC=CC=C21,7.015022874
5,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCC1=CC=C(OC)C=C1OC,6.301029996
6,CCCCCCCCC=CCCCCCCCC(=O)NCCC1=CC(OC)=CC(OC)=C1,5.886056648
7,CCCCCCCCC=CC(=O)NCCC1=CC(OC)=CC(OC)=C1,5.552841969
8,CCCCCCC(C)(C)C1=CC=C(C2=CC=C(N)C=C2)C(O)=C1,6.494850022
9,CSC(=S)N1CC2(CCCCC2)CSC1=NC1=CC=CC2=C1CCCC2,7.823908741
10,CSC(=S)N1CC2(CCCCC2)CSC1=NC1=CC=CC(C)=C1C,6.943095149
11,CSC(=S)N1CC2(CCCCC2)CSC1=NC1=CC=C(C(F)(F)F)C=C1,5.761953897
12,COC1=CC=CC(N=C2SCC3(CCCCC3)CN2C(=S)SC)=C1,6.966576245
13,CC1=C(C2=CC=C(Cl)C=C2)N(C2=CC=C(Cl)C=C2Cl)C2=C1C(=O)N(N1CCCCC1)CC2,8.657577319
14,COC1=CC=C(C2=C(C)C3=C(CCN(N4CCCCC4)C3=O)N2C2=CC=CC=C2C)C=C1,7.13076828
15,COC1=CC=C(C2=C(C)C3=C(CCN(C4CCCCC4)C3=O)N2C2=CC=CC=C2Cl)C=C1,8.124938737
16,CC1=CC=C(C2=C(C)C3=C(CCN(C4CCCCC4)C3=O)N2C2=CC=C(Cl)C=C2Cl)C=C1,8
17,S=C(NC1=CC=C(Cl)C=C1)NC(C1=CC=C(Br)C=C1)C1=CC=C(Br)C=C1,5.823908741
18,O=C(NN1CCCCC1)C1=NN(C2=CC=C(Cl)C=C2Cl)C2=C1CCCC1=C2C=CC=C1[N+](=O)[O-],7
19,C(=C1C=C(CCN2CCOCC2)C2=CC=CC=C12)C1=CC=CC2=CC=CC=C12,8.565431096
20,CC(C)N1C(=O)C(C2=CC=C(Br)C=C2)(C2=CC=C(Br)C=C2)NC1=S,5.440093375
21,CC(C)CN1C(=O)C(C2=CC=C(Br)C=C2)(C2=CC=C(Br)C=C2)NC1=S,5.750068243
22,C=CCN1C(=O)C(C2=CC=C(Br)C=C2)(C2=CC=C(Br)C=C2)NC1=S,6.059981845
23,CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C=C1C1=CC=CC=C1,6.227678293
24,CCCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C=C1C1=CC=CC=C1,6.22475374
25,COC1=CC=C(C(=O)C2=C(C)N(CCN3CCOCC3)C3=CC(I)=CC=C23)C=C1,6.075720714
26,COCC1=C(C2C3(C)CCC(C3)C2(C)C)N(C2=CC=C(Cl)C=C2Cl)N=C1C(=O)NC1CCCCC1,6.618000978
27,C=C(C)C1CCC(C)=CC1C1=C(O)C=C(CCCCC)C=C1O,5.835944708
28,CC1(C)C(C(=O)C2=CN(CC3CCCO3)C3=CC=CC=C23)C1(C)C,6.657577319
29,COC1=CC2=C(C=C1O)C(C(=O)C1C(C)(C)C1(C)C)=CN2CC1CCOCC1,6.107905397
30,CCCN1C(C)=C(C(=O)C2=CC=CC3=CC=CC=C23)C2=CC=CC=C21,6.416801226
31,CCCCCN1C(C)=C(C(=O)C2=CC=CC3=CC=CC=C23)C2=CC=CC=C21,8.022276395
32,CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C2=CC(C(F)(F)F)=CC=C21,5.598599459
33,CC1=CC=C(C2=NC=C(C(=O)NC(CC(C)C)C(N)=O)N=C2C2=CC=C(C)C=C2)C=C1,6.978810701
34,CC1=CC=C(C2=NC=C(C(=O)NN3CCCCC3)N=C2C2=CC=C(C)C=C2)C=C1,7.27572413
35,CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C2=CC(Br)=CC=C21,6.001740662
